date,hierarchy,owned_media_digital_social_instagram_impressions,paid_media_digital_video_other_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_display_google_display_network_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_youtube_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_netflix_spend_usd,owned_media_digital_video_youtube_views,paid_media_traditional_fixed_and_flex_television_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_traditional_print_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_twitch_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_other_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_retail_spend_usd,paid_media_digital_display_google_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_traditional_ooh_spend_usd,weather_population_weighted_average_temperature_celsius,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_precipitation_mm,commercial_execution_sovi_ssd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_relative_to_12_week_moving_average_ratio,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_internet_spend_usd,competitor_paid_media_digital_social_spend_usd,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_socvi_nartd_percentage,weather_population_weighted_average_temperature_celsius_squared,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,varying_intercept,holiday_effect
2021-12-27,brand0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,881.8774564866895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1618812.6380568817,-580630.1419453787,-809329.9046053395,637392.7776332389,1232602.3511507027,-644482.6580556089,-1357335.934038979,-561392.7972314241,562782.943897059,-127456.11848521155,0.0,571831.5052173751,1231123.323066601,2876617.168511442,-1608751.4097617073,1065340.9614718629,17214285.478057086,29787.539604921072
2021-12-27,brand1,0.0,5.313836590935788,0.0,0.0,0.0,0.0,0.0,0.0,13.974472047862188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.70621495201741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.57989054944295,0.0,3984.765971667952,-189.3499712406974,-2055.3273157268763,3906.9778972738363,250.2455767079732,-7220.809094093708,-4395.662290681865,-1186.825829200282,1868.6138237283117,-0.294018087571722,0.0,-3158.382168611767,3926.3466016557695,9436.781564451494,-3741.0222488701766,3576.0749635710426,38840.90642545272,250.58569786357936
2021-12-27,brand13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10560.791203376339,0.0,-7348.187572746524,5916.616151169998,4107.217128849701,-3875.2472756836196,-6564.705819339388,-3380.532157687765,4632.052994322612,0.0,0.0,9040.850850090355,9697.91568859304,23214.618210690223,-14330.051659816716,9067.823303164538,122160.13442454884,2442.7263691439325
2021-12-27,brand19,0.0,166.4596830069937,0.0,0.0,0.0,0.0,3.8581574024317726,0.0,117.47526009168183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.51185514778248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,874.9934637819022,492.0805472245503,0.0,63250.564158423396,0.0,-34827.20798570733,47652.86506480995,36583.19999120681,22412.575339519488,-108683.61328454337,-20717.296656105842,23813.90229189542,-1787.1286341057967,0.0,7202.548629327862,52323.65872021508,131825.0363166039,-64888.3270623928,53038.5712557026,812371.6058498133,68408.46703868198
2021-12-27,brand2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171545.83804552868,0.0,-131065.33692293063,160016.24727347997,49855.37553526298,-12964.031848484252,-96811.02827997388,-53238.80659161016,62932.81078568417,0.0,0.0,83094.91492115831,139779.70561211937,325664.0410504717,-198185.63159723717,108941.53871133333,1775566.7299349084,150622.47662495618
2021-12-27,brand4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.62705774875502,-5.922639002074186,-62.767002524129666,120.27006357237047,21.4831334261485,-204.41626358820668,-121.21792953218923,-54.906942443273465,67.18106745586589,-0.010640354086140226,0.0,-102.09462825416931,125.12961621653837,334.36121352529534,-134.68835033706907,146.78447742220902,1078.891723651453,42.69604301656216
2021-12-27,brand8,0.0,714.8505659848089,0.0,0.0,0.0,0.0,0.0,0.0,818.14795067392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,684.8653997759698,0.0,0.0,0.0,0.0,0.0,0.0,3167.1753385749234,0.0,0.0,0.0,0.0,752.2518963120192,4204.579861267633,546.9118951787456,245654.89749422367,-87271.7091728946,-114844.53538894485,216985.0057418943,147254.68874461355,-112751.75388137283,-197432.45521503457,-76605.58394568821,96873.96472467607,0.0,0.0,28289.397074119686,201578.59967767535,433779.04933487216,-254243.17506685812,219040.60942115117,2864952.290826763,5683.126723036529
2022-01-03,brand0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21230.05727746509,0.0,0.8680276973117829,0.0,0.0,0.0,1334.2362312579603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1486488.0403108513,-433879.8104111897,-902448.4410347679,612800.5871899995,1007868.7449218696,-619616.9224833924,-1304966.55528749,-475597.7773904111,541069.3854442723,0.0,0.0,549768.8308802627,1183623.5391305669,2840528.214720085,-1546681.7998869393,1024237.471236561,17042659.57284721,323661.35827609705
2022-01-03,brand1,0.0,33.9825105748858,0.0,0.0,0.0,0.0,0.0,0.0,68.11568006385329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.61573494617136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.80295924084544,0.0,3450.152030026724,0.0,-2268.8972647295795,3718.6903358353243,66.07894199228122,-6872.8192739084925,-4183.823740431243,-937.2292572762017,1778.560398960898,0.0,0.0,-3006.171408209529,3737.125611308217,9225.246256362427,-3560.732527492822,3403.734486579366,37274.70632074108,1941.0622054157836
2022-01-03,brand13,27.187523748026237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.49686117666793,0.0,0.0,0.0,0.0,0.0,24.310817877798456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9450.85027231112,0.0,-8182.57249030163,5680.652796205141,2809.67743169182,-3720.6967141590385,-6302.895695121286,-2665.378218535727,4447.3199075396815,0.0,0.0,8680.288419840028,9311.148546094839,22892.40398823499,-13758.548121294716,8706.18517181135,120866.74001451225,7065.851327044275
