date,hierarchy,owned_media_digital_social_linkedin_impressions,owned_media_digital_social_instagram_impressions,paid_media_digital_social_pinterest_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_traditional_fixed_and_flex_television_spend_usd,paid_media_traditional_other_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_display_youtube_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_other_other_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_display_google_display_network_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_retail_spend_usd,paid_media_digital_display_google_spend_usd,paid_media_digital_social_meta_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_social_other_spend_usd,paid_media_digital_video_netflix_spend_usd,owned_media_digital_social_facebook_impressions,owned_media_digital_video_youtube_views,paid_media_digital_search_other_spend_usd,average_selling_price_vs_competitor_average_selling_price_ratio,average_selling_price_relative_to_12_week_moving_average_ratio,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,commercial_execution_sovi_ssd_percentage,competitor_paid_media_traditional_television_spend_usd,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,weather_population_weighted_average_precipitation_mm,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,commercial_execution_socvi_nartd_percentage,competitor_paid_media_digital_internet_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_consumer_price_index_seasonally_adjusted,varying_intercept,holiday_effect
27-12-2021,brand0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1431.316531,0,0,-458912.1434,-156960.3729,733335.2893,606108.8221,-380522.2401,242541.8509,-733289.9992,408609.9334,-235925.9102,0,600435.3067,617370.4524,-108710.37,1252287.243,-731308.7416,19693578.89,1174.0717
27-12-2021,brand1,0,0,0,0,0,0,0,0,5.637437588,0,0,2.731858996,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07008956,0,0.737122529,0,1.372138451,0,0,-5311.049881,-606.7457376,233.747231,1863.582308,-119.9796929,750.3298523,-2041.226997,-1716.474471,-606.3952431,0,2067.727906,2035.716626,-0.233042431,3312.217777,-1866.985574,46285.39258,5.027715894
27-12-2021,brand13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3007.910532,-10539.80572,4568.721993,4585.087493,0,1877.931696,-3904.554719,5529.44775,-1881.174276,0,4658.221669,4841.342538,0,9586.566808,-6483.458584,155151.0472,360.5584856
27-12-2021,brand19,0,0,0,0,0,0,0,0,32.53745523,0,0,71.75014326,0,0,0,188.4291379,0,0,0,0,0,0,0,0,0,160.1543186,0,54.06581749,0,0,0,1.980971164,3638.795561,-6529.283178,44394.19155,26516.4616,0,10510.1927,-43012.45493,6472.729067,-12398.32178,0,28631.22917,28918.86223,-1399.016825,61978.8635,-35922.62392,973310.0095,4157.247887
27-12-2021,brand2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10524.18956,-21410.95614,57666.1567,71071.46066,0,26911.69737,-52321.30064,55123.69573,-28402.50312,0,74288.29127,76794.19496,0,139697.3268,-100681.4854,2236387.369,11155.08607
27-12-2021,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-159.9587344,-44.44780663,31.15087975,70.19586793,-4.877701783,27.06819869,-72.80068649,-75.66734859,-23.34953193,0,76.29797795,85.19240398,-0.010010999,177.8014501,-66.27854298,1243.774101,130.3094847
27-12-2021,brand8,0,0,0,0,0,0,0,0,923.5330039,0,0,487.144211,0,0,0,455.8141566,1356.320316,0,0,0,0,0,2911.73147,0,0,1578.4311,0,393.8684057,0,0,0,0,-17004.54216,-21896.87038,129049.22,95784.60226,-61617.04885,34624.36047,-134596.7295,7211.391206,-35978.93651,0,105556.586,97674.73356,0,216528.0792,-127058.3232,3331206.655,201.3807779
03-01-2022,brand0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56623.36683,0,0,2633.185562,0.959520818,0,-453716.2269,-140231.8297,664468.2596,599246.3085,-292410.2798,239795.7322,-724987.509,403983.5509,-474056.8655,0,593637.0301,610380.4318,0,1233513.267,-723028.6837,19654636.12,100756.5851
03-01-2022,brand1,0,0,0,0,0,0,0,0,14.37396653,0,0,16.43913467,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8098267,41.1136722,4.85236514,0,2.39636787,0.000578202,0,-5287.572668,-592.5109064,214.5291583,1855.344442,0,747.0130591,-2032.203862,-1708.886887,-1226.963925,0,2058.587625,2026.717849,0,3371.843642,-1858.732663,46199.73233,421.316899
03-01-2022,brand13,0,26.63906578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.401439204,0,0,13.33607291,0,0,-2963.961241,-10385.80613,4002.406296,4518.093697,0,1850.492792,-3847.504348,5448.655683,-3767.356133,0,4590.159293,4770.604539,0,9287.830141,-6388.72724,157063.1137,1117.644196
03-01-2022,brand19,0,0,0,0,0,0,0,0,229.1211197,0,0,426.8724612,0,0,0,808.3829372,0,0,0,0,0,0,0,0,0,594.6757216,11.77975896,294.4337529,0,0,0,14.49291067,3601.86153,-5853.911546,41560.43798,26247.31765,0,10403.51351,-42575.87548,6407.030411,-24942.05885,0,28340.62018,28625.33375,0,61367.86926,-35558.00676,981178.5212,8593.38851
03-01-2022,brand2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10450.50694,-20191.11069,54698.68486,70573.87068,0,26723.2815,-51954.98546,54737.76024,-57319.89045,0,73768.17941,76256.53861,0,140264.8806,-99976.5879,2257412.074,21212.65462
03-01-2022,brand4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-159.9435368,-44.43501219,31.14087403,70.18919864,0,27.06562695,-72.79376971,-75.66015946,-47.45008056,0,76.29072889,85.18430986,0,182.9334489,-66.27224587,1230.128104,158.0225137
03-01-2022,brand8,0,0,0,0,0,0,0,0,5142.428195,0,0,3432.900214,0,0,0,3084.662776,6968.317605,0,0,0,0,0,12161.60799,0,0,7274.136882,0,2381.716488,0,0,0,0,-16747.6187,-18674.15807,116556.971,94337.38233,-47167.93298,34101.21726,-132563.0929,7102.433516,-72017.24151,0,103961.7201,96198.95543,0,210165.996,-125138.5853,3322782.644,14446.93966
10-01-2022,brand0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117186.5025,0,0,5535.576541,0.382853173,0,-454922.1814,-144114.4674,680452.0617,600839.0745,-308184.6053,240433.097,-726914.4886,405057.3185,-555665.5672,0,595214.8868,612002.7917,0,1208228.809,-724950.4568,19801035.79,8.874178304
10-01-2022,brand1,0,0,0,0,0,0,0,0,14.2912102,0,0,18.72187489,0,0,0,0,0,0,0,0,0,0,0,0,0,43.23862407,81.13789545,6.888316256,0,5.127682323,0.000127044,0,-5349.103778,-629.8187827,264.8975449,1876.934954,0,755.7059974,-2055.852475,-1728.773084,-1451.064484,0,2082.543264,2050.302622,0,3444.218168,-1880.362604,46755.1485,0.018427464
10-01-2022,brand13,0,31.85184773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56448406,0,0,5.165812757,0,0,-2928.771291,-10262.49953,3548.960503,4464.452142,0,1828.522617,-3801.824437,5383.96593,-4351.909538,0,4535.662131,4713.965022,0,8454.592222,-6312.876385,159566.1953,465.005006
