date,hierarchy,paid_media_digital_video_other_spend_usd,paid_media_digital_social_snapchat_spend_usd,paid_media_digital_search_bing_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_display_warner_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_video_twitch_spend_usd,paid_media_traditional_flex_television_spend_usd,paid_media_digital_video_hulu_spend_usd,paid_media_traditional_cinema_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_search_google_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_video_the_trade_desk_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_display_other_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_digital_video_roku_spend_usd,paid_media_digital_audio_pandora_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_traditional_print_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_traditional_ooh_spend_usd,competitor_paid_media_digital_social_spend_usd,commercial_execution_socvi_nartd_percentage,commercial_execution_sovi_ssd_percentage,competitor_paid_media_digital_internet_spend_usd,bottler_promo_spend_usd,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,weather_population_weighted_average_temperature_celsius,macroeconomics_consumer_price_index_seasonally_adjusted,commercial_execution_total_ko_cde,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_paid_media_traditional_television_spend_usd,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,weather_population_weighted_average_precipitation_mm,macroeconomics_yoy_percentage_change_in_real_private_consumption,average_selling_price_relative_to_12_week_moving_average_ratio,varying_intercept,holiday_effect
27-12-2021,brand0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001365895,0,0,0,0,0,0,0,0,0,-0.001365895,0
27-12-2021,brand1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000391691,0,0,0,0,0,0,0,0,0,-0.000391691,0
27-12-2021,brand10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000378702,0,0,0,0,0,0,0,0,0,-0.000378702,0
27-12-2021,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239042,0,0,0,0,0,0,0,0,0,-0.000239042,0
27-12-2021,brand12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001404,0,0,0,0,0,0,0,0,0,-0.0001404,0
27-12-2021,brand14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000787869,0,0,0,0,0,0,0,0,0,-0.000787869,0
27-12-2021,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001375962,0,0,0,0,0,0,0,0,0,-0.001375962,0
27-12-2021,brand18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001051658,0,0,0,0,0,0,0,0,0,-0.001051658,0
27-12-2021,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000927965,0,0,0,0,0,0,0,0,0,-0.000927965,0
27-12-2021,brand3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000737177,0,0,0,0,0,0,0,0,0,-0.000737177,0
