date,hierarchy,paid_media_digital_video_the_trade_desk_spend_usd,paid_media_retail_spend_usd,paid_media_digital_audio_spotify_spend_usd,paid_media_digital_display_warner_spend_usd,paid_media_traditional_cinema_spend_usd,paid_media_digital_search_bing_spend_usd,owned_media_digital_social_facebook_impressions,paid_media_digital_video_connected_ott_spend_usd,owned_media_digital_video_youtube_views,paid_media_digital_social_snapchat_spend_usd,paid_media_traditional_fixed_television_spend_usd,paid_media_digital_social_other_spend_usd,paid_media_digital_social_x_twitter_spend_usd,paid_media_digital_social_pinterest_spend_usd,paid_media_digital_video_roku_spend_usd,paid_media_traditional_print_spend_usd,paid_media_traditional_radio_spend_usd,paid_media_digital_search_other_spend_usd,paid_media_digital_audio_pandora_spend_usd,owned_media_digital_social_x_twitter_impressions,paid_media_traditional_flex_television_spend_usd,paid_media_traditional_ooh_spend_usd,paid_media_digital_social_tiktok_spend_usd,paid_media_digital_video_google_spend_usd,paid_media_digital_video_youtube_spend_usd,paid_media_digital_audio_other_spend_usd,paid_media_digital_mobile_other_spend_usd,paid_media_digital_social_meta_spend_usd,paid_media_digital_video_hulu_spend_usd,owned_media_digital_social_instagram_impressions,paid_media_digital_search_google_spend_usd,paid_media_digital_video_other_spend_usd,paid_media_digital_display_the_trade_desk_spend_usd,paid_media_digital_video_twitch_spend_usd,paid_media_digital_display_other_spend_usd,weather_population_weighted_average_precipitation_mm,weighted_distribution_unit_case_weighted_average_vs_competitor_weighted_distribution_unit_case_weighted_average_ratio,commercial_execution_sovi_ssd_percentage,macroeconomics_consumer_price_index_seasonally_adjusted,average_selling_price_vs_competitor_average_selling_price_ratio,competitor_weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_digital_internet_spend_usd,commercial_execution_socvi_nartd_percentage,weighted_distribution_unit_case_weighted_average_26_weeks_sliding_max,competitor_paid_media_traditional_television_spend_usd,weather_population_weighted_average_temperature_celsius,macroeconomics_yoy_percentage_change_in_real_private_consumption,competitor_paid_media_digital_social_spend_usd,commercial_execution_total_ko_cde,average_selling_price_relative_to_12_week_moving_average_ratio,bottler_promo_spend_usd,varying_intercept,holiday_effect
27-12-2021,brand0,0,0,0,0,0,0,6349.549751,0,0,0,0,0,0,0,0,0,0,0,0,32.71844678,86998.07631,0,0,0,0,0,0,0,0,0,0,0,0,0,2504.502476,-74192.01353,691396.1776,434458.5715,-410107.2,-130355.1958,-568413.1002,-100556.6396,183187.5434,1706396.638,-210901.0726,476071.8631,1137018.51,-73517.83636,438236.7882,-1457773.931,0,12270545.33,-4.91E-20
27-12-2021,brand1,0,0,0,0,8107.287331,0,6849.038476,0,0,0,0,0,0,0,0,0,267.6451588,0,0,77.78394652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15040.32719,607244.4887,119919.727,-62426.8363,-19145.421,-57132.76857,-7337.397495,43849.08533,102204.238,-176.6948106,113185.1631,246619.613,-708.9869996,120838.1375,-130357.7518,0,2439782.529,1.39E-24
27-12-2021,brand10,0,0,0,0,119.2393438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106925422,0,289.4495019,0,0,0,0,0,0,0,0.776740771,0,0,0,0,0,-6421.630361,72872.94266,39809.75444,-30231.64109,-8636.847613,-28248.84025,-1356.865743,17283.82773,23371.34886,0,52002.22922,103384.1029,-1248.629378,40562.47772,-42070.03737,0,998976.2998,2.11E-22
27-12-2021,brand11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755893085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2719.307898,96277.43597,18283.80569,-11871.53062,-44176.1403,-9621.796772,-3342.192602,8277.613806,0,-72.28405791,26171.18158,47644.70832,-2123.052353,18644.24194,-7668.147928,0,442261.4618,2975.90153
27-12-2021,brand12,0,0,0,0,2844.56203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4391.23411,43722.65369,31602.11796,-20580.82355,-98245.94534,-15681.35779,-485.3717267,13177.16113,13801.29571,-13.04953179,37886.18144,76869.52302,-817.3083657,32759.2302,-11012.45224,0,826827.9071,48603.40433
27-12-2021,brand14,0,0,0,0,0,0,0,0,0,0,0,537.0636548,0,0,0,0,0,0,0,0,0,0,0,0,0,96.74466852,0,0,0,0,0,0,0,0,443.1272649,-12244.73672,-4718.055681,90337.90664,-55368.82272,122678.9318,-51460.05773,-733.2593871,36837.32447,23680.75056,-3.211921206,108705.8337,228834.6295,-2737.163967,91927.83373,-62496.27648,0,2482858.26,1.46E-24
27-12-2021,brand15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.933566685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10030.41068,292741.4045,65503.70442,-50215.26002,216328.1693,-40482.00415,-12093.45356,29979.95145,50007.5424,0,95224.57684,163691.8174,-5599.870005,63080.29799,-82535.16372,0,1529144.861,-183.6823903
27-12-2021,brand18,0,0,0,0,0,0,0,0,0,0,0,282.3854027,0,0,0,0,0,324.4058248,0,0,0,0,0,0,0,21.89500599,0,0,0,0,0,0,0,0,30842.17264,-6376.252091,86430.33723,54981.85062,-29360.96947,-1744.997212,-27947.27012,-380.8661288,21138.47477,53613.08432,0,50150.08829,109166.9514,-839.9158772,56538.61374,-51431.25272,0,1909856.324,9566.77854
27-12-2021,brand19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30338.17673,175341.9098,178544.7274,-138496.9995,-46777.51957,-188709.7295,-38655.32327,75679.3232,598652.1048,-109463.4242,193101.762,436855.3135,-27673.5999,176519.6716,-541468.5243,0,5709749.589,-5198.592663
27-12-2021,brand3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17219.45566,0,104904.5419,-87405.7591,831477.5165,0,0,48540.17424,178105.2217,0,138969.6426,267740.9254,0,102214.378,-134696.6256,0,2860693.387,7.58E-27
